Model,Param1 Name,Param1,N Features,N Training set,K,njobs,Runtime,Notes,Accuracy,Seconds
SVC,C,1.00E-10,42,4000,5,5,00:00:04.040603,network_connection,0.136026936,4.04
SVC,C,1.00E-10,42,500,6,3,00:00:01.555004,network_connection,0.154208754,1.56
SVC,C,1.00E-10,42,500,6,4,00:00:01.557602,network_connection,0.154208754,1.56
SVC,C,1.00E-10,42,500,6,5,00:00:01.669786,network_connection,0.154208754,1.67
SVC,C,1.00E-10,42,1000,6,3,00:00:01.635998,network_connection,0.141414141,1.64
SVC,C,1.00E-10,42,1000,6,4,00:00:01.699999,network_connection,0.141414141,1.70
SVC,C,1.00E-10,42,1000,6,5,00:00:01.824000,network_connection,0.141414141,1.82
SVC,C,1.00E-10,42,2000,6,3,00:00:02.217625,network_connection,0.132659933,2.22
SVC,C,1.00E-10,42,2000,6,4,00:00:02.331998,network_connection,0.132659933,2.33
SVC,C,1.00E-10,42,2000,6,5,00:00:02.319988,network_connection,0.132659933,2.32
SVC,C,1.00E-10,42,4000,6,3,00:00:04.366006,network_connection,0.136026936,4.37
SVC,C,1.00E-10,42,4000,6,4,00:00:04.463532,network_connection,0.136026936,4.46
SVC,C,1.00E-10,42,4000,6,5,00:00:04.708664,network_connection,0.136026936,4.71
