,0
feature 1075,0.0
feature 1076,0.0
feature 1077,0.0
feature 1078,0.0
feature 1079,0.0
feature 1080,0.0
feature 1081,0.0
feature 1082,0.0
feature 1083,0.0
feature 1084,0.0
feature 1085,0.0
feature 1086,0.0
feature 1087,0.0
feature 1088,0.0
feature 1089,0.0
feature 1090,0.0
feature 1091,0.0046315789473684536
feature 1092,0.0
feature 1093,0.0
feature 1094,0.0
feature 1095,0.0
feature 1096,0.0
feature 1097,0.0
feature 1098,0.0
feature 1099,0.0
feature 1100,0.0
feature 1101,0.0
feature 1102,0.0
feature 1103,0.0
feature 1104,0.0
feature 1105,0.0
feature 1106,0.0
feature 1107,0.0
feature 1108,0.0
feature 1109,0.0
feature 1110,0.0
feature 1111,0.0
feature 1112,0.0
feature 1113,0.0
feature 1114,0.0
feature 1115,0.0
feature 1116,0.0
feature 1117,0.0
feature 1118,0.0
feature 1119,0.0
feature 1120,0.0
feature 1121,0.0
feature 1122,0.0
feature 1123,0.0
feature 1124,0.0
feature 1125,-0.0008421052631578885
feature 1126,0.0
feature 1127,0.0
feature 1128,0.0
feature 1129,0.0
feature 1130,0.0
feature 1131,0.0
feature 1132,0.0
feature 1133,0.0
feature 1134,0.0
feature 1135,0.0
feature 1136,0.0
feature 1137,0.0
feature 1138,0.0
feature 1139,0.0
feature 1140,0.0
feature 1141,0.0
feature 1142,0.0
feature 1143,0.0
feature 1144,0.0
feature 1145,0.0
feature 1146,0.0
feature 1147,0.0
feature 1148,0.0
feature 1149,0.0
feature 1150,0.0
feature 1151,0.0
feature 1152,0.0
feature 1153,0.0
feature 1154,0.0
feature 1155,0.0
feature 1156,0.0
feature 1157,0.0
feature 1158,0.0
feature 1159,0.0
feature 1160,0.0
feature 1161,0.0
feature 1162,0.0
feature 1163,0.0
feature 1164,0.0
feature 1165,0.0
feature 1166,0.0
feature 1167,0.0
feature 1168,0.0
feature 1169,0.0
feature 1170,0.0
feature 1171,0.0
feature 1172,0.0
feature 1173,0.0
feature 1174,0.0
feature 1175,0.0
feature 1176,0.0
feature 1177,0.0
feature 1178,0.0
feature 1179,0.0
feature 1180,0.0
feature 1181,0.0
feature 1182,0.0
feature 1183,0.0
feature 1184,0.0
feature 1185,0.0
feature 1186,0.0
feature 1187,0.0
feature 1188,0.0
feature 1189,0.0
feature 1190,0.0
feature 1191,0.0
feature 1192,0.0
feature 1193,0.0
feature 1194,0.0
feature 1195,0.0
feature 1196,0.0
feature 1197,0.0
feature 1198,0.0
feature 1199,0.0
feature 1200,0.0
feature 1201,0.0
feature 1202,0.0
feature 1203,0.0
feature 1204,0.0
feature 1205,0.0
feature 1206,0.0
feature 1207,-0.002105263157894721
feature 1208,0.0
feature 1209,0.0
feature 1210,0.0
feature 1211,0.0
feature 1212,0.0
feature 1213,0.0
feature 1214,0.0
feature 1215,0.0
feature 1216,0.0
feature 1217,0.0
feature 1218,0.0
feature 1219,0.0
feature 1220,0.0
feature 1221,0.0
feature 1222,0.0
feature 1223,0.0
feature 1224,0.0
feature 1225,0.0
