trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,framewise_displacement,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,a_comp_cor_05,csf,white_matter
0.011859200000000002,-0.102573,0.0358389,0.0011231,0.000684612,0.000941984,0.206495445,-0.0240918566,-0.1237840162,-0.0362636385,-0.0728699342,-0.0588123082,-0.0511566381,439.9082592069408,452.20328521173127
0.0118895,-0.00508659,0.00287803,0.000278945,-0.000172226,0.000744813,0.22538577999999995,-0.0196225334,-0.0411213344,0.051069544800000005,-0.0710720035,0.1176081467,-0.04411186860000001,441.23160963719727,452.5330396972484
0.00250043,-0.0940041,0.014561700000000002,0.000746566,1.25879e-05,0.000929297,0.15183619499999995,-0.0212523662,-0.0498106224,-0.0971102223,-0.06560874900000001,-0.0185798824,-0.1626347156,441.44584865042737,452.67871333681774
0.000582869,-0.0216698,-0.0132176,0.000503471,0.000114531,0.00102638,0.12413721599999998,0.0083452122,-0.0275743526,0.049122287,-0.0410732586,0.1013013027,-0.0507574969,441.96012308229456,452.3499045146976
-0.007569949999999998,-0.06969810000000001,0.010441299999999999,0.0006225019999999999,1.85931e-05,0.00097476,0.093169464,0.0218794532,-0.0512842653,-0.0674486301,-0.07200813639999999,0.0103749271,-0.1462179558,441.59449005048623,452.1829949251653
0.00649922,-0.0123995,0.0062077,0.000287171,0.000208173,0.00118699,0.112458415,-0.007955842099999999,0.0293209565,0.021975688,-0.1138842557,0.07629929239999998,0.0067145176,443.4157930478668,452.43869733047984
0.0024396,-0.105148,0.00310109,0.0008068760000000002,-6.17808e-05,0.00102154,0.14767016999999996,0.0496995002,0.0110727793,-0.0370666922,-0.0915413722,-0.08973554829999998,-0.038425087,442.25589388068994,452.2028455612048
3.06241e-05,0.00388259,0.0053025,8.273399999999996e-06,-5.6898900000000005e-06,0.0012363700000000003,0.16711715140000002,-0.0226079439,0.07367103599999998,0.058019584000000006,-0.08816833999999998,0.06992215019999999,0.079483892,443.04663201204033,452.50456195653646
-0.008052409999999996,-0.103564,0.0172609,0.000779615,-0.000172226,0.0011872,0.17684040960000005,0.0467027694,0.0483711163,-0.08281238,-0.07098642690000001,-0.08968512119999998,-0.0029560858,442.29683423500967,452.37481527943913
-0.0008410139999999996,-0.00272219,-0.00340862,0.000159438,-0.000172226,0.00133302,0.167022576,-0.0280829132,0.0724944274,0.1042769256,-0.0750532104,0.0413239505,0.1237703747,442.8938810688396,452.63118130819015
-0.00331162,-0.0724703,0.0282599,0.000560167,-0.000263169,0.00134518,0.129078836,0.017761968899999998,0.07210560269999998,-0.1129955377,-0.0628164434,-0.1313823954,0.0651437527,442.90295307917194,452.5466107965215
-0.0147864,-0.0273467,-0.0165425,0.000647674,-4.35833e-05,0.00145389,0.122190915,-0.089010574,-0.0020204786,0.1013068782,0.0467280289,-0.0349678394,0.07492611759999998,443.0417858526748,452.8477050448816
-0.0169695,-0.07439279999999998,0.0034808,0.00034584,-0.000177146,0.00151367,0.09401133499999999,-0.0729856797,-0.013848151699999998,-0.1149855249,0.0050048501,-0.1030090094,0.0329289843,443.3411234243632,452.89591728753186
-0.0141197,-0.0436731,-0.0339065,0.000501026,0.00017230599999999997,0.00132962,0.10539119999999996,-0.0866286046,-0.08178001449999998,0.0846872032,0.0644347673,0.008796188999999998,-0.0243204835,442.68344144455216,452.9194012618853
-0.00933221,-0.0594162,0.0005823569999999999,0.000501026,-0.000273898,0.00124094,0.081763647,-0.07438961599999998,-0.0611387512,-0.1087420624,0.07269893019999998,-0.0315926402,-0.0071384682,443.2398580782617,452.62306851168086
